genes,reaction,Organism,geneKO,maxATPafterKO,growthAcrossCond,closeness,degree,betweenness,pagerank,reversible,rawVmin,rawVmax,PFBAflux,kcat,MW,Target,Acetyl,Phos
b2323,"3OAS140",1,0,0.999999999999692,0,0.807030753565019,0.736625514403292,0.0326436115430598,0.688618400107662,0,0.450498551229214,0.00137112027512836,0.358702832175291,1.00375811962536,0.246784209705102,1,1,0
b2323,"3OAS141",1,0,0.999999999999692,0,0.807030753565019,0.736625514403292,0.0326436115430598,0.688618400107662,0,0.449744842686922,7.02123626918285e-07,0,1.00375811962536,0.246784209705102,1,1,0
b2323,"3OAS160",1,0,0.999999999999692,0,0.807030753565019,0.736625514403292,0.0326436115430598,0.688618400107662,0,0.449744842686922,2.80849460463695e-06,0,1.00375811962536,0.246784209705102,1,1,0
b2323,"3OAS161",1,0,0.999999999999692,0,0.807030753565019,0.736625514403292,0.0326436115430598,0.688618400107662,0,0.449744842686922,2.80849429834586e-06,0,1.00375811962536,0.246784209705102,1,1,0
b2323,"3OAS180",1,0,0.999999999999692,0,0.807030753565019,0.736625514403292,0.0326436115430598,0.688618400107662,0,0.449744842686922,9.05966099016234e-07,0,1.00375811962536,0.246784209705102,1,1,0
b2323,"3OAS60",1,0,0.999999999999692,0,0.807030753565019,0.736625514403292,0.0326436115430598,0.688618400107662,0,0.449744842686922,6.68689264978492e-07,0,1.00375811962536,0.246784209705102,1,1,0
b2323,"3OAS80",1,0,0.999999999999692,0,0.807030753565019,0.736625514403292,0.0326436115430598,0.688618400107662,0,0.449744842686922,6.68689264978492e-07,0,1.00375811962536,0.246784209705102,1,1,0
b2323,"KAS14",1,0,0.999999999999692,0,0.807030753565019,0.736625514403292,0.0326436115430598,0.688618400107662,0,0.449744842686922,6.68689264979045e-07,0,1.00375811962536,0.246784209705102,1,1,0
b2323,"MACPD",1,0,0.999999999999692,0,0.796355296395864,0.717421124828532,0.0056693800129188,0.648866131126638,0,0.449744842686922,3.51061741832222e-06,0,1.00375811962536,0.246784209705102,1,1,0
b2323,"OPMEACPS",1,0,0.999999999999692,0,0.807030753565019,0.736625514403292,0.0326436115430598,0.688618400107662,0,0.449744862056488,3.52003794734576e-08,9.2183088038469e-06,1.00375811962536,0.246784209705102,1,1,0
b2329,"CHORS",1,0,0.999999999999668,0,0.513972012917114,0.213305898491084,0.0150220997027914,0.237210510460211,0,0.453435897450616,0.00670784728958929,1.75663631650667,1.00375811962536,0.225089717584647,1,1,0
b2341,"ECOAH1",1,0.999999999999442,0.999999999999664,0,0.599179122260659,0.392318244170096,0.00269181115232295,0.364595143599508,1,0.453191095258535,0.00626366932375705,1.64030586855652,1.00375811962536,0.46185052270245,1,1,0
b2341,"ECOAH2",1,0.999999999999442,0.999999999999664,0,0.599179122260659,0.392318244170096,0.00227976768827699,0.364395649130664,1,0.453191095258535,0.00626366932375705,1.64030586855652,1.00375811962536,0.46185052270245,1,1,0
b2341,"ECOAH3",1,0.999999999999442,0.999999999999664,0,0.599179122260659,0.392318244170096,0.00228774263115283,0.364432447374179,1,0.453191095258535,0.00626358806831075,1.64030586855652,1.00375811962536,0.46185052270245,1,1,0
