genes,reaction,Phase
B4GALT3,G14T12g,G0
B4GALT3,G14T13g,G0
B4GALT3,G14T14g,G0
B4GALT3,G14T15g,G0
B4GALT3,G14T16g,G0
B4GALT3,G14T17g,G0
B4GALT3,G14T18g,G0
B4GALT3,G14T19g,G0
B4GALT3,G14T20g,G0
B4GALT3,G14T21g,G0
B4GALT3,G14T2g,G0
B4GALT3,G14T3g,G0
B4GALT3,G14T4g,G0
B4GALT3,G14T5g,G0
B4GALT3,G14T6g,G0
B4GALT3,G14T7g,G0
B4GALT3,G14T8g,G0
B4GALT3,G14T9g,G0
B4GALT3,G14Tg,G0
B4GALT5,G14T10g,G0
B4GALT5,G14T11g,G0
B4GALT5,G14T12g,G0
B4GALT5,G14T13g,G0
B4GALT5,G14T14g,G0
B4GALT5,G14T15g,G0
B4GALT5,G14T16g,G0
B4GALT5,G14T17g,G0
B4GALT5,G14T18g,G0
B4GALT5,G14T19g,G0
B4GALT5,G14T20g,G0
B4GALT5,G14T21g,G0
B4GALT5,G14T2g,G0
B4GALT5,G14T3g,G0
B4GALT5,G14T4g,G0
B4GALT5,G14T5g,G0
B4GALT5,G14T6g,G0
B4GALT5,G14T7g,G0
B4GALT5,G14T8g,G0
B4GALT5,G14T9g,G0
B4GALT5,G14Tg,G0
BAAT,BAAT1x,G0
BAAT,BAAT2x,G0
BAAT,BAAT3x,G0
BAAT,BAAT4x,G0
BAAT,BAAT5x,G0
BBOX1,BBHOX,G0
BCAT1,ILETA,G0
BCAT1,LEUTA,G0
BCAT1,VALTA,G0
BCAT2,ILETAm,G0
BCAT2,LEUTAm,G0
BCAT2,VALTAm,G0
BCKDHA,OIVD1m,G0
BCKDHA,OIVD2m,G0
BCKDHA,OIVD3m,G0
BCMO1,BCDO,G0
BHMT,BHMT,G0
BHMT2,BHMT,G0
BLVRA,BILIRED,G0
BLVRB,BILIRED,G0
BPNT1,BPNT,G0
BPNT1,BPNT2,G0
BTD,BTND1,G0
BTD,BTND1n,G0
BTD,BTNDe,G0
BTD,BTNDm,G0
C1GALT1,N3Tg,G0
C9orf95,RNMK,G0
CA1,H2CO3D,G0
CA13,H2CO3D,G0
CA14,H2CO3D,G0
CA2,H2CO3D,G0
CA3,H2CO3D,G0
CA4,H2CO3D,G0
CA5A,H2CO3Dm,G0
CA9,H2CO3D,G0
CAD,ASPCTr,G0
CAD,CBPS,G0
CAD,DHORTS,G0
CANT1,NDP10ex,G0
CANT1,NDP3ex,G0
CANT1,NDP7ex,G0
CANT1,NDP8ex,G0
CANT1,NTP3e,G0
CAT,CAT2p,G0
CAT,CATm,G0
CAT,CATp,G0
CBR1,CBR1,G0
CBR1,CBR2,G0
CBS,CYSTS,G0
CBS,SELCYSTS,G0
CCBL1,3HKYNAKGAT,G0
CCBL1,KYNAKGAT,G0
CD38,ADPRIBt,G0
CD38,NADNe,G0
CD38,NADPNe,G0
CDA,CYTD,G0
CDA,DCYTD,G0
CDO1,CYSO,G0
CDS1,CDS,G0
CDS2,CDSm,G0
CEPT1,CEPTC,G0
CEPT1,CEPTE,G0
CES2,COKECBESr,G0
CHDH,CHOLD2m,G0
CHIT1,CHTNASE,G0
CHPF,GALNACT2g,G0
CHPF,GALNACT3g,G0
CHPF,GALNACT4g,G0
CHPF,GALNACT5g,G0
CHPF,GLCAT2g,G0
CHPF,GLCAT3g,G0
CHPF,GLCAT4g,G0
CHPF,GLCAT5g,G0
CHPF2,GLCAT2g,G0
CHPF2,GLCAT3g,G0
CHPF2,GLCAT4g,G0
CHPF2,GLCAT5g,G0
CHPT1,CEPTC,G0
CHST1,S6T15g,G0
CHST1,S6T18g,G0
CHST1,S6T3g,G0
CHST11,S4T1g,G0
CHST11,S4T2g,G0
CHST11,S4T3g,G0
CHST11,S4T6g,G0
CHST12,S4T1g,G0
CHST12,S4T2g,G0
CHST12,S4T3g,G0
CHST12,S4T6g,G0
CHST13,S4T1g,G0
CHST13,S4T2g,G0
CHST13,S4T3g,G0
CHST13,S4T6g,G0
CHST14,S4T1g,G0
CHST14,S4T2g,G0
CHST14,S4T3g,G0
CHST14,S4T6g,G0
CHST2,S6T10g,G0
CHST2,S6T11g,G0
CHST2,S6T12g,G0
