genes,reaction
CHSY3,GALNACT5g
CHSY3,GLCAT2g
CHSY3,GLCAT3g
CHSY3,GLCAT4g
CHSY3,GLCAT5g
CKB,CKc
CKM,CKc
CKMT1B,CK
CLC,LPASE
CMAS,CMPSAS
CMAS,CMPSASn
COASY,DPCOAK
COASY,PTPAT
COL4A3BP,CERT1gt
COL4A3BP,CERT1rt
COL4A3BP,CERT2gt
COL4A3BP,CERT2rt
COMTD1,SALMCOM
COMTD1,SALMCOM2
COQ2,HBZOPT10m
COQ3,COQ3m
COQ3,DHDPBMTm
COQ7,COQ7m
COX1,CYOOm3
COX2,CYOOm3
CPOX,CPPPGO
CPT1A,ADRNCPT1
CPT1A,ARACHCPT1
CPT1A,C160CPT1
CPT1A,C161CPT1
CPT1A,C161CPT12
CPT1A,C180CPT1
CPT1A,C181CPT1
CPT1A,C204CPT1
CPT1A,C226CPT1
CPT1A,CLPNDCPT1
CPT1A,DCSPTN1CPT1
CPT1A,DLNLCGCPT1
CPT1A,EICOSTETCPT1
CPT1A,ELAIDCPT1
CPT1A,HEXCCPT1
CPT1A,HPDCACRNCPT1
CPT1A,LGNCCPT1
CPT1A,LNELDCCPT1
CPT1A,LNLCCPT1
CPT1A,LNLNCACPT1
CPT1A,LNLNCGCPT1
CPT1A,NRVNCCPT1
CPT1A,PTDCACRNCPT1
CPT1A,RTOTAL2CRNCPT1
CPT1A,RTOTAL3CRNCPT1
CPT1A,RTOTALCRNCPT1
CPT1A,STRDNCCPT1
CPT1A,TETPENT3CPT1
CPT1A,TETPENT6CPT1
CPT1A,TETTET6CPT1
CPT1A,TMNDNCCPT1
CPT1A,TTDCPT1
CPT1A,VACCCPT1
CPT1C,ADRNCPT1
CPT1C,ARACHCPT1
CPT1C,C160CPT1
CPT1C,C161CPT1
CPT1C,C161CPT12
CPT1C,C180CPT1
CPT1C,C181CPT1
CPT1C,C204CPT1
CPT1C,C226CPT1
CPT1C,CLPNDCPT1
CPT1C,DCSPTN1CPT1
CPT1C,DLNLCGCPT1
CPT1C,EICOSTETCPT1
CPT1C,ELAIDCPT1
CPT1C,HEXCCPT1
CPT1C,HPDCACRNCPT1
CPT1C,LGNCCPT1
CPT1C,LNELDCCPT1
CPT1C,LNLCCPT1
CPT1C,LNLNCACPT1
CPT1C,LNLNCGCPT1
CPT1C,NRVNCCPT1
CPT1C,PTDCACRNCPT1
CPT1C,RTOTAL2CRNCPT1
CPT1C,RTOTAL3CRNCPT1
CPT1C,RTOTALCRNCPT1
CPT1C,STRDNCCPT1
CPT1C,TETPENT3CPT1
CPT1C,TETPENT6CPT1
CPT1C,TETTET6CPT1
CPT1C,TMNDNCCPT1
CPT1C,TTDCPT1
CPT1C,VACCCPT1
CPT2,ADRNCPT2
CPT2,ARACHCPT2
CPT2,C160CPT2
CPT2,C161CPT2
CPT2,C161CPT22
CPT2,C180CPT2
CPT2,C181CPT2
CPT2,C204CPT2
CPT2,C226CPT2
CPT2,CLPNDCPT2
CPT2,DCSPTN1CPT2
CPT2,DLNLCGCPT2
CPT2,EICOSTETCPT2
CPT2,ELAIDCPT2
CPT2,HEXCCPT2
CPT2,HPDCACRNCPT2
CPT2,LGNCCPT2
