genes,reaction
MAN1A2,MM6bg
MAN1A2,MM7B1g
MAN1A2,MM7B2g
MAN1A2,MM7Cag
MAN1A2,MM7Cbg
MAN1A2,MM8Ag
MAN1A2,MM8Cg
MAN1C1,MM5ag
MAN1C1,MM5bg
MAN1C1,MM5cg
MAN1C1,MM6B1ag
MAN1C1,MM6B1bg
MAN1C1,MM6B2g
MAN1C1,MM6ag
MAN1C1,MM6bg
MAN1C1,MM7Ag
MAN1C1,MM7B1g
MAN1C1,MM7B2g
MAN1C1,MM7Cag
MAN1C1,MM7Cbg
MAN1C1,MM8Ag
MAN1C1,MM8Cg
MAN2A1,M1316Mg
MAN2A2,M1316Mg
MAN2C1,A_MANASE
MANSC1,CHTNASE
MAOA,3HXKYNOXDA
MAOA,3MOXTYROX
MAOA,41R1H2MAE12BOOX
MAOA,41R2A1H12BOOX
MAOA,42A12BOOX
MAOA,5HOXINOXDA
MAOA,5HXKYNOXDA
MAOA,APRTO2
MAOA,MAOLNOR
MAOA,PEAMNO
MAOA,TRYPTAOX
MAOA,TYROXDAc
MAOB,3HXKYNOXDA
MAOB,3MOXTYROX
MAOB,41R1H2MAE12BOOX
MAOB,41R2A1H12BOOX
MAOB,42A12BOOX
MAOB,5HOXINOXDA
MAOB,5HXKYNOXDA
MAOB,APRTO2
MAOB,MACOXO
MAOB,MAOLNOR
MAOB,PEAMNO
MAOB,TRYPTAOX
MAOB,TYROXDAc
MAT1A,METAT
MAT1A,SELMETAT
MAT2A,METAT
MAT2A,SELMETAT
MCCC1,MCCCrm
MCCC2,MCCCrm
MDH1B,MDH
MDH1B,SLDx
MGAT1,M13N2Tg
MGAT2,M16NTg
MGAT3,M14NTg
MGAT4A,M13N4Tg
MIOX,INOSTO
MLYCD,MCD
MLYCD,MCDm
MLYCD,MMCD
MLYCD,MMCDm
MOXD1,DOPABMO
MPI,MAN6PI
MTHFD1,FTHFL
MTHFD1,MTHFC
MTHFD1,MTHFD
MTHFD1L,FTHFLm
MTHFR,MTHFR3
MTR,METS
MUT,MMMm
NADK,NADK
NADSYN1,NADS2
NAGA,NAGA2ly
NAGK,ACGAMK
NAGK,AMANK
NAGS,ACGSm
NANS,ACNAM9PL
NANS,ACNAM9PL2
ND2,NADH2_u10m
ND4,NADH2_u10m
ND5,NADH2_u10m
NDUFA10,NADH2_u10m
NDUFA11,NADH2_u10m
NDUFA12,NADH2_u10m
NDUFA13,NADH2_u10m
NDUFA6,NADH2_u10m
NDUFA9,NADH2_u10m
NDUFB10,NADH2_u10m
NDUFB8,NADH2_u10m
NDUFB9,NADH2_u10m
NDUFC2,NADH2_u10m
NDUFS1,NADH2_u10m
NDUFS2,NADH2_u10m
NDUFS3,NADH2_u10m
NDUFS4,NADH2_u10m
NDUFS7,NADH2_u10m
NDUFS8,NADH2_u10m
NDUFV1,NADH2_u10m
NDUFV2,NADH2_u10m
NEU1,GLB1
NEU1,SIAASE3ly
NEU1,SIAASE4ly
NEU4,SIAASE
NME2,NDPK10
NMNAT3,NMNATr
NMNAT3,NNATr
NOS3,NOS1
NOS3,NOS2
NSF,ATPS4m
NT5C2,NT5C
NT5C2,NTD11
NT5C2,NTD6
NT5C2,NTD7
NT5C2,NTD9
OAT,ORNTArm
ODC1,ORNDC
OLAH,FA120ACPH
OLAH,FA140ACPH
OLAH,FA141ACPH
OLAH,FA161ACPH
OLAH,FA180ACPH
OLAH,FA181ACPH
OLAH,FA182ACPH
OPLAH,OPAHir
OXCT1,OCOAT1m
OXCT2,OCOAT1m
P4HA1,PROAKGOX1r
P4HA2,PROAKGOX1r
P4HB,PROAKGOX1r
PAFAH1B2,PAFH
PAFAH1B3,PAFH
PAFAH2,PAFH
PAH,PHETHPTOX2
PAICS,AIRCr
PAICS,PRASCS
PANK3,PNTK
PANK4,PNTK
PAPSS1,ADSELK
PAPSS1,ADSK
PAPSS1,SADT
PAPSS1,SELADT
PAPSS2,ADSELK
PAPSS2,ADSK
PAPSS2,SADT
